nominal_formula,volume_per_atom,C11,C12,C44,B,Gv,GR,G,E,v,Hv,"AV,R",KIC,G/B,bulk_energy,force,real_formula,bulk_energy,volume,error1,error2,error3
HfMoNbTaTi,22.33906,585.868,119.296,169.447,274.82,194.9826,190.2745,192.6286,468.4387,0.215912,25.46241,0.012221,386.1257,0.700926,-20.5846,0.031647,Hf7Mo6Nb6Ta7Ti6C32,-658.706,714.85,1.58%,1.51%,0.21%
HfMoNbTaW,22.44156,595.602,126.489,156.468,282.86,187.7034,180.5055,184.1045,453.8483,0.232584,22.66703,0.019548,383.26,0.650868,-21.1194,0.009397,Hf7Mo6Nb6Ta7W6C32,-675.82,718.13,1.92%,1.81%,0.14%
HfMoNbTaZr,23.355,565.709,109.099,161.319,261.3023,188.1134,182.7692,185.4413,449.8963,0.213042,25.13836,0.014409,372.1673,0.709681,-20.7036,0.00961,Hf7Mo6Nb6Ta7Zr6C32,-662.514,747.36,1.60%,1.41%,0.14%
HfMoNbTiV,21.53531,548.066,106.397,161.683,253.62,185.3436,181.0847,183.2142,442.9747,0.208899,25.43259,0.011623,359.5532,0.722396,-19.8125,0.009855,Hf7Mo6Nb6Ti7V6C32,-634.001,689.13,1.81%,1.95%,0.16%
HfMoNbTiW,21.97406,587.529,108.762,159.407,268.351,191.3976,183.9957,187.6967,456.628,0.216399,24.93903,0.019718,375.6052,0.699445,-20.4086,0.022637,Hf7Mo6Nb6Ti7W6C32,-653.076,703.17,1.89%,1.76%,0.05%
HfMoNbTiZr,22.93219,548.516,106.662,162.501,253.9467,185.8714,181.7244,183.7979,444.2227,0.208454,25.54488,0.011281,364.1518,0.723766,-19.9159,0.008474,Hf7Mo6Nb6Ti7Zr6C32,-637.31,733.83,1.49%,1.43%,0.25%
HfMoNbVW,21.60031,600.171,77.9113,149.874,251.9979,194.3763,180.663,187.5197,450.7525,0.201881,26.74059,0.036565,362.7704,0.744132,-20.3754,0.046492,Hf7Mo6Nb6V7W6C32,-652.011,691.21,2.70%,4.28%,1.38%
HfMoNbVZr,22.56469,527.445,103.791,152.873,245.009,176.4546,172.0235,174.239,422.5509,0.212561,24.11022,0.012716,347.3244,0.711154,-19.8954,0.009713,Hf7Mo6Nb6V7Zr6C32,-636.651,722.07,1.77%,1.56%,0.25%
HfMoNbWZr,23.10594,567.814,92.873,148.045,251.1867,183.8152,174.2998,179.0575,434.0383,0.212008,24.64693,0.026571,357.9166,0.712846,-20.6068,0.009768,Hf7Mo6Nb6W7Zr6C32,-659.417,739.39,1.62%,1.63%,0.17%
HfMoTaTiV,21.53531,559.2,111.77,166.011,260.9133,189.0926,185.1095,187.1011,453.017,0.210621,25.59836,0.010644,368.5345,0.7171,-20.1456,0.026877,Hf7Mo6Ta6Ti7V6C32,-644.659,689.13,1.70%,1.78%,0.19%
HfMoTaTiW,21.98656,589.559,119.584,162.091,276.2423,191.2496,185.0535,188.1516,460.0144,0.222457,24.23861,0.016466,381.5855,0.68111,-20.7348,0.004242,Hf7Mo6Ta6Ti7W6C32,-663.512,703.57,1.80%,1.64%,0.19%
HfMoTaTiZr,22.92656,565.33,106.185,165.795,259.2333,191.306,186.5221,188.914,455.9786,0.206842,26.24997,0.012662,372.993,0.728741,-20.2519,0.005385,Hf7Mo6Ta6Ti7Zr6C32,-648.061,733.65,1.51%,1.39%,0.28%
HfMoTaVW,21.64125,528.744,134.138,153.948,265.6733,171.29,168.7832,170.0366,420.4178,0.236256,21.02108,0.007371,354.8071,0.640021,-20.6979,0.008604,Hf7Mo6Ta6V7W6C32,-662.334,692.52,1.00%,1.28%,0.11%
HfMoTaVZr,22.57625,521.701,110.743,154.4,247.729,174.8316,171.4477,173.1397,421.2749,0.216575,23.53303,0.009772,348.1732,0.698908,-20.2277,0.00835,Hf7Mo6Ta6V7Zr6C32,-647.286,722.44,1.85%,1.44%,0.12%
